	name	clean_text
0	«Евразийская антимонопольная ассоциация»	 евразийская антимонопольная ассоциация 
1	Ассоциация некоммерческих организаций «В защиту прав избирателей «ГОЛОС»	ассоциация некоммерческих организаций в защиту прав избирателей голос 
2	Региональная общественная правозащитная организация «Союз «Женщины Дона»	региональная общественная правозащитная организация союз женщины дона 
3	Автономная некоммерческая научно- исследовательская организация «Центр социальной политики и гендерных исследований»	автономная некоммерческая научно исследовательская организация центр социальной политики и гендерных исследований 
4	Региональная общественная организация в защиту демократических прав и свобод«ГОЛОС»	региональная общественная организация в защиту демократических прав и свобод голос 
5	Некоммерческая организация Фонд «Костромской центр поддержки общественных инициатив»	некоммерческая организация фонд костромской центр поддержки общественных инициатив 
6	Калининградская региональная общественная организация «Экозащита!-Женсовет»	калининградская региональная общественная организация экозащита женсовет 
7	Фонд содействия защите прав и свобод граждан «Общественный вердикт»	фонд содействия защите прав и свобод граждан общественный вердикт 
8	Межрегиональная общественная организация Правозащитный Центр «Мемориал»	межрегиональная общественная организация правозащитный центр мемориал 
9	Автономная некоммерческая организация «Юристы за конституционные права и свободы»	автономная некоммерческая организация юристы за конституционные права и свободы 
10	Межрегиональная Ассоциация правозащитных общественных объединений «Правозащитная ассоциация»	межрегиональная ассоциация правозащитных общественных объединений правозащитная ассоциация 
11	Санкт-Петербургская региональная общественная правозащитная организация «Солдатские матери Санкт-Петербурга»	санкт петербургская региональная общественная правозащитная организация солдатские матери санкт петербурга 
12	Фонд «Институт Развития Свободы Информации»	фонд институт развития свободы информации 
13	Автономная некоммерческая организация «Научный центр международных исследований «ПИР»	автономная некоммерческая организация научный центр международных исследований пир 
14	Ассоциация «Партнерство для развития» (Саратовская региональная общественная благотворительная организация)	ассоциация партнерство для развития саратовская региональная общественная благотворительная организация 
15	Частное учреждение «Информационное агентство МЕМО. РУ»	частное учреждение информационное агентство мемо ру 
16	Некоммерческое партнерство «Институт региональной прессы»	некоммерческое партнерство институт региональной прессы 
17	Автономная некоммерческая организация «Московская школа гражданского просвещения»	автономная некоммерческая организация московская школа гражданского просвещения 
18	Архангельская региональная общественная организация социально- психологической и правовой помощи лесбиянкам,геям,бисексуалам и трансгендерам (ЛГБТ) «Ракурс»	архангельская региональная общественная организация социально психологической и правовой помощи лесбиянкам геям бисексуалам и трансгендерам лгбт ракурс 
19	Карачаево-Черкесская Республиканская молодежная общественная организация «Союз молодых политологов»	карачаево черкесская республиканская молодежная общественная организация союз молодых политологов 
20	Общероссийское общественное движение защиты прав человека «За права человека»	общероссийское общественное движение защиты прав человека за права человека 
21	Краснодарская краевая общественная организация выпускников вузов	краснодарская краевая общественная организация выпускников вузов
22	Калининградская региональная общественная организация «Правозащитный центр»	калининградская региональная общественная организация правозащитный центр 
23	Региональная общественная организация «Общественная комиссияпо сохранению наследия академика Сахарова»	региональная общественная организация общественная комиссияпо сохранению наследия академика сахарова 
24	Санкт-Петербургская правозащитная общественная организация «Лигаизбирательниц»	санкт петербургская правозащитная общественная организация лигаизбирательниц 
25	Фонд поддержки свободы прессы	фонд поддержки свободы прессы
